Date,Open,High,Low,Close,Adj Close,Volume
2014-12-16,69.175003,70.25,65.5,69.650002,68.045883,1010504
2014-12-17,69.525002,70.349998,67.349998,67.75,66.189644,967258
2014-12-18,67.949997,68.849998,67,67.400002,65.84771,191018
2014-12-19,67.5,67.625,53.924999,56.950001,55.638378,926762
2014-12-22,57.650002,63.400002,57.650002,60.75,59.350864,1279304
2014-12-23,60.5,61.525002,59.625,60,58.618134,537948
2014-12-24,60.099998,61.125,59.799999,60.224998,58.837952,783536
2014-12-26,60.424999,60.450001,59.150002,59.450001,58.080803,438260
2014-12-29,59.849998,62.325001,59.799999,61.400002,59.985889,1281324
2014-12-30,61.549999,61.950001,60.625,61.599998,60.181282,1574012
2014-12-31,61.724998,62.549999,61.275002,62.275002,60.84074,1445090
2015-01-01,62,63.349998,61.799999,62.450001,61.011711,183006
2015-01-02,62.700001,63.325001,62.200001,62.900002,61.451347,585092
2015-01-05,62.950001,64.425003,62.950001,64.199997,62.721401,645836
2015-01-06,63.700001,63.75,61.5,62.474998,61.036129,1019110
2015-01-07,62.049999,63.049999,62.049999,62.474998,61.036129,488256
2015-01-08,62.950001,63.224998,62.25,62.599998,61.158253,274694
2015-01-09,62.700001,63.950001,62,62.599998,61.158253,263864
2015-01-12,62.700001,63,62.349998,62.625,61.182678,374580
2015-01-13,62.625,62.950001,62.299999,62.650002,61.207104,466368
2015-01-14,62.599998,62.924999,61.5,62.400002,60.96286,501942
2015-01-15,62.700001,64.800003,62.700001,63.224998,61.76886,424346
2015-01-16,63.450001,64.375,63.25,63.849998,62.379463,348034
2015-01-19,63.950001,64.449997,63.75,63.974998,62.501583,677208
2015-01-20,64.199997,64.724998,63.099998,63.599998,62.13522,640650
2015-01-21,63.650002,64.25,63.299999,63.825001,62.355038,473414
2015-01-22,63.849998,64.699997,63.299999,64.175003,62.69698,479584
2015-01-23,64.5,66.199997,64.5,65.199997,63.698372,758472
2015-01-27,65,65.300003,62.674999,63.450001,61.988678,412716
2015-01-28,63.450001,65.300003,63.299999,64.125,62.648129,674740
2015-01-29,64.175003,64.949997,63.424999,64.474998,62.99007,1747346
2015-01-30,64.474998,65.25,63.549999,64.300003,62.819107,413494
2015-02-02,63.549999,64.5,62.825001,63.200001,61.744434,485848
2015-02-03,63.349998,63.900002,62.75,63.025002,61.573463,139350
2015-02-04,63,63.200001,62.299999,62.549999,61.109406,265646
2015-02-05,62.950001,63,61.799999,61.950001,60.523224,294854
2015-02-06,62.174999,62.900002,61.099998,62.025002,60.5965,181452
2015-02-09,62.200001,63,62.200001,62.674999,61.231522,95720
2015-02-10,62.474998,62.875,62,62.700001,61.255955,386276
2015-02-11,62.950001,63,62,62.125,60.694195,201644
2015-02-12,62.200001,62.799999,61.5,62.224998,60.791885,541150
2015-02-13,63,63.075001,61.799999,62.075001,60.645348,115144
2015-02-16,63.900002,65.550003,62.549999,62.799999,61.353649,553128
2015-02-18,62.799999,62.950001,61.125,61.974998,60.547646,560324
2015-02-19,62,62.75,59.549999,61.275002,59.86377,1609718
2015-02-20,61.299999,66,61,64.974998,63.47855,1274926
2015-02-23,65.25,67.074997,63.549999,64.625,63.136616,1191628
2015-02-24,64,65,63.049999,63.400002,61.939831,1141698
2015-02-25,63.674999,64.150002,62.650002,63.375,61.915405,401210
